mae,mse,rmse,r2,dataset,timestamp
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 12:35:47
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 12:35:59
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 12:40:19
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 12:50:21
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 16:35:30
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 16:43:43
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 16:43:51
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 16:43:55
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 16:43:57
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 16:44:42
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 16:52:25
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 16:52:29
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 17:20:27
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 17:20:48
