mae,mse,rmse,r2,dataset,timestamp
1.179,3.835,1.958,0.813,math_random_forest,2025-09-27 12:35:47
1.179,3.835,1.958,0.813,math_random_forest,2025-09-27 12:36:00
1.179,3.835,1.958,0.813,math_random_forest,2025-09-27 12:40:19
1.179,3.835,1.958,0.813,math_random_forest,2025-09-27 12:50:22
1.179,3.835,1.958,0.813,math_random_forest,2025-09-27 16:35:30
1.179,3.835,1.958,0.813,math_random_forest,2025-09-27 16:43:43
1.179,3.835,1.958,0.813,math_random_forest,2025-09-27 16:43:51
1.179,3.835,1.958,0.813,math_random_forest,2025-09-27 16:43:55
1.179,3.835,1.958,0.813,math_random_forest,2025-09-27 16:43:58
1.179,3.835,1.958,0.813,math_random_forest,2025-09-27 16:44:43
1.179,3.835,1.958,0.813,math_random_forest,2025-09-27 16:52:26
1.179,3.835,1.958,0.813,math_random_forest,2025-09-27 16:52:30
1.179,3.835,1.958,0.813,math_random_forest,2025-09-27 17:20:28
1.179,3.835,1.958,0.813,math_random_forest,2025-09-27 17:20:49
