mae,mse,rmse,r2,dataset,timestamp
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-23 10:22:20
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 15:04:47
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 17:24:56
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 17:25:29
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 17:25:35
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 18:15:38
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 20:50:03
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 20:53:42
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 20:54:20
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 20:58:59
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 21:00:12
1.647,5.657,2.378,0.724,math_linear_regression,2025-09-27 21:07:20
