mae,mse,rmse,r2,dataset,timestamp
0.747,1.546,1.243,0.842,portuguese_random_forest,2025-09-23 10:22:21
0.747,1.546,1.243,0.842,portuguese_random_forest,2025-09-27 15:04:48
0.747,1.546,1.243,0.842,portuguese_random_forest,2025-09-27 17:24:57
0.747,1.546,1.243,0.842,portuguese_random_forest,2025-09-27 17:25:30
0.747,1.546,1.243,0.842,portuguese_random_forest,2025-09-27 17:25:36
0.747,1.546,1.243,0.842,portuguese_random_forest,2025-09-27 18:15:38
0.747,1.546,1.243,0.842,portuguese_random_forest,2025-09-27 20:50:03
0.747,1.546,1.243,0.842,portuguese_random_forest,2025-09-27 20:53:43
0.747,1.546,1.243,0.842,portuguese_random_forest,2025-09-27 20:54:20
0.747,1.546,1.243,0.842,portuguese_random_forest,2025-09-27 20:58:59
0.747,1.546,1.243,0.842,portuguese_random_forest,2025-09-27 21:00:13
0.747,1.546,1.243,0.842,portuguese_random_forest,2025-09-27 21:07:29
